id,station_name,city,country,company,lat,lon,free_bikes
3deacfbea30367b071c7b8cc1d117440,"ул. Садовая-Самотечная, д.8",Moscow,RU,ЗАО «СитиБайк»,55.773194,37.614186,0.0
64fc0a997a922c958e2d5c7c2df1dc90,"Большая Сухаревская пл., д.2 (ст. м. Сухаревская)",Moscow,RU,ЗАО «СитиБайк»,55.772192,37.632814,0.0
8d6054bacb3442e1d982d9353b62bc25,"ул. Сущёвский Вал, д.2",Moscow,RU,ЗАО «СитиБайк»,55.7914268,37.5905396,0.0
280696acfb802d92a6f792ecaf730b63,"ул. Шереметьевская, д.27",Moscow,RU,ЗАО «СитиБайк»,55.8032637,37.6155506,0.0
106b7d716e11492c687b693359fe024e,"Олимпийский пр-т, д.22",Moscow,RU,ЗАО «СитиБайк»,55.7861479,37.6225279,0.0
3950fa260a55b54d5629ccb5ad67ec55,"ул. Щепкина, д.61/2, стр.22",Moscow,RU,ЗАО «СитиБайк»,55.7886534,37.6290169,0.0
d05942be6bdb55dc219766d84599bc8e,"пр-т Мира, д.40 (рядом со ст. м. Проспект Мира (кольцевая))",Moscow,RU,ЗАО «СитиБайк»,55.7804054,37.6334722,0.0
5d135d6c5ef96e37ce720264ff344277,"пр-т Мира, д.69, стр.1",Moscow,RU,ЗАО «СитиБайк»,55.7865412,37.6347031,0.0
6c54e611f9dc5d467ab86c61825c66c7,"ул. Сельскохозяйственная, д.17, к.1",Moscow,RU,ЗАО «СитиБайк»,55.837238,37.6365455,0.0
c50eae0d7d8c65db6d7eb62b8b4299cb,"ул. Правды, д.4/19",Moscow,RU,ЗАО «СитиБайк»,55.7835199,37.5765806,0.0
708a180670f7ae1966a850f82b884ca3,"Орликов пер., д.3, стр.7 (со стороны пр-та Академика Сахарова)",Moscow,RU,ЗАО «СитиБайк»,55.7720802,37.6465038,0.0
4b6adfc5ff57c91fe55772137e8d42c2,"Рязанский пр., Комсомольская пл., д.2",Moscow,RU,ЗАО «СитиБайк»,55.7723539,37.6548139,0.0
125c0a0d4e07150a86f466eb3e67704d,"Комсомольская пл., д.5",Moscow,RU,ЗАО «СитиБайк»,55.7766712,37.6591375,0.0
8b253d3148fab6fb5f3b91e37894e87a,"Олимпийский пр-т, д.14",Moscow,RU,ЗАО «СитиБайк»,55.7791071,37.6225146,0.0
6f66fb6291514eceae68c0be554130ca,"Ленинский пр-т, д.33",Moscow,RU,ЗАО «СитиБайк»,55.712075,37.587744,0.0
23b96bd83db0eed8344fbaabbad8be28,"ул. Дмитрия Ульянова, д.22, к.1 (ст. м. Академическая)",Moscow,RU,ЗАО «СитиБайк»,55.6880358,37.572725,0.0
1e3d300d8664eafc756d9f04aca953be,"пр-т Мира, д.11",Moscow,RU,ЗАО «СитиБайк»,55.7761657,37.6320952,0.0
